Date,AAPL,AMZN,JPM,MSFT,NVDA,TSLA
2019-01-02,37.57521057128906,76.95649719238281,82.01351928710938,94.7896957397461,3.3775439262390137,20.674667358398438
2019-01-03,33.83243942260742,75.01399993896484,80.84794616699219,91.30255889892578,3.173483371734619,20.02400016784668
2019-01-04,35.27672576904297,78.76950073242188,83.82845306396484,95.54895782470703,3.376800537109375,21.179332733154297
2019-01-07,35.198204040527344,81.47550201416016,83.88671875,95.67082977294922,3.5555713176727295,22.33066749572754
2019-01-08,35.86918640136719,82.8290023803711,83.72854614257812,96.36450958251953,3.4670538902282715,22.356666564941406
2019-01-09,36.47832107543945,82.97100067138672,83.58699798583984,97.74246978759766,3.5352401733398438,22.568666458129883
2019-01-10,36.59489822387695,82.81099700927734,83.57867431640625,97.11444854736328,3.600945472717285,22.99799919128418
2019-01-11,36.235618591308594,82.02799987792969,83.17906951904297,96.36450958251953,3.690206527709961,23.150667190551758
2019-01-14,35.69074249267578,80.8604965209961,84.03658294677734,95.6614761352539,3.730125904083252,22.293333053588867
2019-01-15,36.421207427978516,83.72799682617188,84.65266418457031,98.43616485595703,3.7159934043884277,22.961999893188477
2019-01-16,36.866146087646484,84.18900299072266,85.33534240722656,98.78299713134766,3.6904549598693848,23.06999969482422
2019-01-17,37.08505630493164,84.66100311279297,85.68500518798828,99.47666931152344,3.7618637084960938,23.15399932861328
2019-01-18,37.3134765625,84.80999755859375,87.07535552978516,100.96712493896484,3.891044855117798,20.150667190551758
2019-01-22,36.475929260253906,81.6084976196289,85.70165252685547,99.06421661376953,3.688718795776367,19.92799949645996
2019-01-23,36.62345504760742,82.0009994506836,85.4852066040039,100.02974700927734,3.7016122341156006,19.172666549682617
2019-01-24,36.33317184448242,82.74649810791016,85.53514099121094,99.55166625976562,3.913607358932495,19.43400001525879
2019-01-25,37.53712844848633,83.52850341796875,86.0763168334961,100.4609375,3.97088360786438,19.80266761779785
2019-01-28,37.18975067138672,81.89450073242188,86.48424530029297,98.50177001953125,3.4219272136688232,19.7586669921875
2019-01-29,36.804283142089844,79.69400024414062,86.72569274902344,96.49575805664062,3.2629926204681396,19.83066749572754
2019-01-30,39.31930160522461,83.52149963378906,86.92550659179688,99.72039794921875,3.406554937362671,20.584667205810547
2019-01-31,39.602439880371094,85.9365005493164,86.16790771484375,97.8924789428711,3.564249277114868,20.468000411987305
2019-02-01,39.6214714050293,81.3115005493164,86.48424530029297,96.34576416015625,3.588548183441162,20.81399917602539
2019-02-04,40.74692916870117,81.66549682617188,86.79229736328125,99.12046813964844,3.698884963989258,20.859333038330078
2019-02-05,41.44408416748047,82.94049835205078,86.40931701660156,100.50780487060547,3.717977285385132,21.42333221435547
2019-02-06,41.4583625793457,82.01300048828125,86.36769104003906,99.39229583740234,3.7936007976531982,21.148000717163086
2019-02-07,40.67316818237305,80.71849822998047,85.23542785644531,98.67987060546875,3.6552462577819824,20.500667572021484
2019-02-08,40.7209587097168,79.41100311279297,84.3862533569336,99.05485534667969,3.673841953277588,20.386667251586914
2019-02-11,40.48677444458008,79.55000305175781,83.98663330078125,98.66112518310547,3.631195068359375,20.856000900268555
2019-02-12,40.83565139770508,81.90049743652344,85.41858673095703,100.19847106933594,3.7482266426086426,20.78733253479004
2019-02-13,40.665992736816406,82.0,85.82653045654297,100.12347412109375,3.79062557220459,20.544666290283203
2019-02-14,40.814151763916016,81.13249969482422,85.26872253417969,100.20783233642578,3.8315372467041016,20.251333236694336
2019-02-15,40.72333908081055,80.39749908447266,87.87458801269531,101.4452133178711,3.9012105464935303,20.525333404541016
2019-02-19,40.84522247314453,81.37899780273438,87.56654357910156,101.3983383178711,3.883854389190674,20.375999450683594
2019-02-20,41.10807418823242,81.1050033569336,87.99114227294922,100.87113952636719,3.9312119483947754,20.17066764831543
2019-02-21,40.876277923583984,80.97200012207031,87.80799865722656,102.99873352050781,3.8622822761535645,19.415332794189453
2019-02-22,41.33268737792969,81.5780029296875,87.41670989990234,104.4673080444336,3.947080612182617,19.6473331451416
2019-02-25,41.63376998901367,81.6500015258789,88.3324966430664,105.05097198486328,3.934683322906494,19.917999267578125
2019-02-26,41.65767288208008,81.81999969482422,87.65811920166016,105.77586364746094,3.8952598571777344,19.857332229614258
2019-02-27,41.78671646118164,82.05449676513672,87.54989624023438,105.59697723388672,3.8533568382263184,20.982667922973633
2019-02-28,41.375701904296875,81.99150085449219,86.88388061523438,105.46520233154297,3.828784704208374,21.325332641601562
2019-03-01,41.81060791015625,83.58650207519531,86.94214630126953,105.93589782714844,3.883141279220581,19.652666091918945
2019-03-04,42.0208854675293,84.80850219726562,86.74232482910156,105.68170928955078,3.8913321495056152,19.02400016784668
2019-03-05,41.94443130493164,84.62149810791016,86.67573547363281,105.15452575683594,3.884877920150757,18.43600082397461
2019-03-06,41.70308303833008,83.44750213623047,86.3510513305664,105.20159912109375,3.7739310264587402,18.416000366210938
2019-03-07,41.22037124633789,81.29750061035156,85.72664642333984,103.92131042480469,3.7046823501586914,18.439332962036133
2019-03-08,41.31835174560547,81.04000091552734,85.75991821289062,104.03424072265625,3.7389354705810547,18.94266700744629
2019-03-11,42.749717712402344,83.53099822998047,86.87553405761719,106.21832275390625,3.9995479583740234,19.39466667175293
2019-03-12,43.230018615722656,83.65499877929688,86.61743927001953,106.96202850341797,4.0338006019592285,18.890666961669922
2019-03-13,43.42119216918945,84.54049682617188,86.9088363647461,107.79045867919922,4.18520450592041,19.263999938964844
2019-03-14,43.90387725830078,84.31099700927734,87.6997299194336,107.87517547607422,4.109254360198975,19.33066749572754
